    25357/  4 | SET 0
    25497/  4 | 7715 
    25497/  4 | 7715 
    25497/  4 | 7715 
    25498/  4 | 7715 
    25498/  4 | 7715 
    25498/  4 | 7715 
    25498/  4 | 7715 
    25499/  4 | 7715 
    25499/  4 | 7715 
    25499/  4 | 7715 
    25499/  4 | 7715 
    25499/  4 | 7715 
    25500/  4 | 7715 
    25500/  4 | 7715 
    25500/  4 | 7715 
    25500/  4 | 7715 
    25501/  4 | 7715 
    25501/  4 | 7715 
    25501/  4 | 7715 
    25501/  4 | 7715 
    25502/  4 | 7715 
    25502/  4 | 7715 
    25502/  4 | 7715 
    25502/  4 | 7715 
    25503/  4 | 7715 
    25503/  4 | 7715 
    25503/  4 | 7715 
    25503/  4 | 7715 
    25503/  4 | 7715 
    25504/  4 | 7715 
    25504/  4 | 7715 
    25504/  4 | 7715 
    25504/  4 | 7715 
    25505/  4 | 7715 
    25505/  4 | 7715 
    25505/  4 | 7715 
    25505/  4 | 7715 
    25506/  4 | 7715 
    25506/  4 | 7715 
    25506/  4 | 7715 
    25506/  4 | 7715 
    25507/  4 | 7715 
    25507/  4 | 7715 
    25507/  4 | 7715 
    25507/  4 | 7715 
    25508/  4 | 7715 
    25508/  4 | 7715 
    25508/  4 | 7715 
    25508/  4 | 7715 
    25508/  4 | 7715 
    25509/  4 | 7715 
    25509/  4 | 7715 
    25509/  4 | 7715 
    25509/  4 | 7715 
    25510/  4 | 7715 
    25510/  4 | 7715 
    25510/  4 | 7715 
    25510/  4 | 7715 
    25511/  4 | 7715 
    25511/  4 | 7715 
    25511/  4 | 7715 
    25511/  4 | 7715 
    25512/  4 | 7715 
    25512/  4 | 7715 
    25512/  4 | 7715 
    25512/  4 | 7715 
    25512/  4 | 7715 
    25513/  4 | 7715 
    25513/  4 | 7715 
    25513/  4 | 7715 
    25513/  4 | 7715 
    25514/  4 | 7715 
    25514/  4 | 7715 
    25514/  4 | 7715 
    25514/  4 | 7715 
    25515/  4 | 7715 
    25515/  4 | 7715 
    25515/  4 | 7715 
    25515/  4 | 7715 
    25516/  4 | 7715 
    25516/  4 | 7715 
    25516/  4 | 7715 
    25516/  4 | 7715 
    25517/  4 | 7715 
    25517/  4 | 7715 
    25517/  4 | 7715 
    25517/  4 | 7715 
    25517/  4 | 7715 
    25518/  4 | 7715 
    25518/  4 | 7715 
    25518/  4 | 7715 
    25518/  4 | 7715 
    25519/  4 | 7715 
    25519/  4 | 7715 
    25519/  4 | 7715 
    25519/  4 | 7715 
    25520/  4 | 7715 
    25520/  4 | 7715 
    25520/  4 | 7715 
    25520/  4 | 7715 
    25521/  4 | 7715 
    25521/  4 | 7715 
    25521/  4 | 7715 
    25521/  4 | 7715 
    25521/  4 | 7715 
    25522/  4 | 7715 
    25522/  4 | 7715 
    25522/  4 | 7715 
    25522/  4 | 7715 
    25523/  4 | 7715 
    25523/  4 | 7715 
    25523/  4 | 7715 
    25523/  4 | 7715 
    25524/  4 | 5013 
    25524/  4 | 5013 
    25524/  4 | 5013 
    25524/  4 | 5013 
    25525/  4 | 5013 
    25525/  4 | 5013 
    25525/  4 | 5013 
    25525/  4 | 5013 
    25526/  4 | 5013 
    25526/  4 | 5013 
    25526/  4 | 5013 
    25526/  4 | 5013 
    25526/  4 | 5013 
    25527/  4 | 5013 
    25527/  4 | 5013 
    25527/  4 | 5013 
    25527/  4 | 5013 
    25528/  4 | 5013 
    25528/  4 | 5013 
    25528/  4 | 5013 
    25528/  4 | 5013 
    25529/  4 | 5013 
    25529/  4 | 5013 
    25529/  4 | 5013 
    25529/  4 | 5013 
    25530/  4 | 5013 
    25530/  4 | 5013 
    25530/  4 | 5013 
    25530/  4 | 5013 
    25530/  4 | 5013 
    25531/  4 | 5013 
    25531/  4 | 5013 
    25531/  4 | 5013 
    25531/  4 | 5013 
    25532/  4 | 5013 
    25532/  4 | 5013 
    25532/  4 | 5013 
    25532/  4 | 5013 
    25533/  4 | 5013 
    25533/  4 | 5013 
    25533/  4 | 5013 
    25533/  4 | 5013 
    25534/  4 | 5013 
    25534/  4 | 5013 
    25534/  4 | 5013 
    25534/  4 | 5013 
    25535/  4 | 5013 
    25535/  4 | 5013 
    25535/  4 | 5013 
    25535/  4 | 5013 
    25535/  4 | 5013 
    25536/  4 | 5013 
    25536/  4 | 5013 
    25536/  4 | 5013 
    25536/  4 | 5013 
    25537/  4 | 5013 
    25537/  4 | 5013 
    25537/  4 | 5013 
    25537/  4 | 5013 
    25538/  4 | 5013 
    25538/  4 | 5013 
    25538/  4 | 5013 
    25538/  4 | 5013 
    25539/  4 | 5013 
    25539/  4 | 5013 
    25539/  4 | 5013 
    25539/  4 | 5013 
    25540/  4 | 5013 
    25540/  4 | 5013 
    25540/  4 | 5013 
    25540/  4 | 5013 
    25540/  4 | 5013 
    25541/  4 | 5013 
    25541/  4 | 5013 
    25541/  4 | 5013 
    25541/  4 | 5013 
    25542/  4 | 5013 
    25542/  4 | 5013 
    25542/  4 | 5013 
    25542/  4 | 5013 
    25543/  4 | 5013 
    25543/  4 | 5013 
    25543/  4 | 5013 
    25543/  4 | 5013 
    25544/  4 | 5013 
    25544/  4 | 5013 
    25544/  4 | 5013 
    25544/  4 | 5013 
    25544/  4 | 5013 
    25545/  4 | 5013 
    25545/  4 | 5013 
    25545/  4 | 5013 
    25545/  4 | 5013 
    25546/  4 | 5013 
    25546/  4 | 5013 
    25546/  4 | 5013 
    25546/  4 | 5013 
    25547/  4 | 5013 
    25547/  4 | 5013 
    25547/  4 | 5013 
    25547/  4 | 5013 
    25548/  4 | 5013 
    25548/  4 | 5013 
    25548/  4 | 5013 
    25548/  4 | 5013 
    25549/  4 | 5013 
    25549/  4 | 5013 
    25549/  4 | 5013 
    25549/  4 | 5013 
    25549/  4 | 5013 
    25550/  4 | 5013 
    25550/  4 | 5013 
    25550/  4 | 5013 
    25550/  4 | 5013 
    25551/  4 | 5013 
    25551/  4 | 5013 
    25551/  4 | 5013 
    25551/  4 | 5013 
    25552/  4 | 5013 
    25552/  4 | 5013 
    25552/  4 | 5013 
    25552/  4 | 5013 
    25553/  4 | 5013 
    25553/  4 | 5013 
    25553/  4 | 5013 
    25553/  4 | 5013 
    25553/  4 | 5013 
    25554/  4 | 5013 
    25554/  4 | 5013 
    25554/  4 | 5013 
    25554/  4 | 5013 
    25555/  4 | 5013 
    25555/  4 | 5013 
    25555/  4 | 5013 
    25555/  4 | 5013 
    25556/  4 | 5013 
